,04/16/24 Px_Mid,04/16/24 IVol_Mid,04/15/24 Px_Mid,04/15/24 IVol_Mid,04/12/24 Px_Mid,04/12/24 IVol_Mid,04/11/24 Px_Mid,04/11/24 IVol_Mid,04/10/24 Px_Mid,04/10/24 IVol_Mid,04/09/24 Px_Mid,04/09/24 IVol_Mid,04/08/24 Px_Mid,04/08/24 IVol_Mid,04/05/24 Px_Mid,04/05/24 IVol_Mid,04/04/24 Px_Mid,04/04/24 IVol_Mid,04/03/24 Px_Mid,04/03/24 IVol_Mid,04/02/24 Px_Mid,04/02/24 IVol_Mid,04/01/24 Px_Mid,04/01/24 IVol_Mid,03/28/24 Px_Mid,03/28/24 IVol_Mid,03/27/24 Px_Mid,03/27/24 IVol_Mid,03/26/24 Px_Mid,03/26/24 IVol_Mid,03/25/24 Px_Mid,03/25/24 IVol_Mid,03/22/24 Px_Mid,03/22/24 IVol_Mid,03/21/24 Px_Mid,03/21/24 IVol_Mid,03/20/24 Px_Mid,03/20/24 IVol_Mid,03/19/24 Px_Mid,03/19/24 IVol_Mid,03/18/24 Px_Mid,03/18/24 IVol_Mid,03/15/24 Px_Mid,03/15/24 IVol_Mid,03/14/24 Px_Mid,03/14/24 IVol_Mid,03/13/24 Px_Mid,03/13/24 IVol_Mid,03/12/24 Px_Mid,03/12/24 IVol_Mid,03/11/24 Px_Mid,03/11/24 IVol_Mid,03/08/24 Px_Mid,03/08/24 IVol_Mid,03/07/24 Px_Mid,03/07/24 IVol_Mid
500,4.05,16.638,4.43,17.687,2.45,16.945,1.02,15.596,1.92,16.018,1.07,15.305,1.22,15.121,1.77,16.444,2.61,15.409,1.27,14.349,1.49,14.447,1.08,14.101,1.08,14.242,1.04,13.838,1.5,13.298,1.51,13.478,1.55,13.929,1.44,13.719,1.69,13.542,2.64,13.619,3.36,13.586,4.27,13.583,3.51,13.752,3.03,13.2,3.03,13.273,4.76,13.706,4.65,13.562,4.1,13.833
501,4.39,16.471,4.77,17.504,2.65,16.735,1.11,15.361,2.08,15.869,1.15,15.095,1.32,14.921,1.89,16.224,2.79,15.239,1.36,14.154,1.59,14.254,1.14,13.901,1.14,14.036,1.1,13.644,1.59,13.111,1.61,13.302,1.65,13.779,1.52,13.55,1.79,13.393,2.79,13.482,3.55,13.45,4.49,13.448,3.7,13.615,3.2,13.072,3.19,13.138,5.0,13.583,4.89,13.435,4.29,13.726
502,4.77,16.302,5.13,17.357,2.86,16.555,1.2,15.18,2.25,15.727,1.24,14.898,1.42,14.731,2.01,16.042,2.97,15.052,1.46,13.97,1.69,14.071,1.22,13.703,1.21,13.834,1.17,13.453,1.69,12.935,1.71,13.149,1.75,13.599,1.61,13.393,1.89,13.239,2.96,13.347,3.75,13.321,4.74,13.325,3.91,13.487,3.37,12.935,3.37,13.014,5.26,13.472,5.13,13.313,4.52,13.618
503,5.17,16.13,5.51,17.189,3.09,16.372,1.31,14.982,2.43,15.56,1.34,14.691,1.53,14.563,2.15,15.863,3.18,14.884,1.56,13.795,1.81,13.893,1.3,13.519,1.29,13.665,1.24,13.278,1.8,12.752,1.82,12.99,1.85,13.454,1.7,13.248,2.01,13.081,3.13,13.211,3.96,13.198,5.01,13.196,4.12,13.347,3.56,12.806,3.56,12.889,5.53,13.357,5.39,13.188,4.74,13.508
504,5.6,15.966,5.9,17.011,3.35,16.195,1.42,14.803,2.63,15.409,1.44,14.49,1.65,14.365,2.29,15.671,3.39,14.718,1.67,13.623,1.94,13.719,1.38,13.348,1.37,13.477,1.32,13.07,1.92,12.587,1.94,12.835,1.97,13.291,1.8,13.084,2.12,12.929,3.32,13.074,4.2,13.07,5.29,13.076,4.35,13.239,3.77,12.693,3.76,12.772,5.81,13.236,5.66,13.073,5.29,13.404
505,6.06,15.793,6.34,16.836,3.62,16.008,1.56,14.604,2.85,15.271,1.56,14.276,1.77,14.183,2.45,15.494,3.62,14.553,1.8,13.441,2.07,13.534,1.48,13.155,1.46,13.302,1.4,12.907,2.05,12.412,2.07,12.684,2.09,13.158,1.92,12.929,2.25,12.781,3.51,12.944,4.44,12.954,5.58,12.957,4.59,13.111,3.98,12.559,3.97,12.653,6.11,13.132,5.95,12.945,4.97,13.304
506,6.55,15.621,6.79,16.646,3.9,15.822,1.69,14.415,3.08,15.116,1.68,14.096,1.92,13.999,2.61,15.327,3.87,14.377,1.93,13.273,2.21,13.362,1.58,12.972,1.56,13.106,1.5,12.724,2.19,12.24,2.21,12.535,2.22,13.004,2.04,12.78,2.39,12.626,3.73,12.828,4.7,12.831,5.89,12.844,4.85,12.977,4.21,12.446,4.2,12.531,6.43,13.021,6.26,12.84,5.54,13.207
507,7.06,15.464,7.27,16.467,4.21,15.635,1.85,14.234,3.34,14.968,1.82,13.897,2.07,13.811,2.79,15.155,4.13,14.219,2.08,13.104,2.37,13.2,1.69,12.808,1.65,12.934,1.6,12.549,2.34,12.078,2.36,12.385,2.36,12.853,2.17,12.634,2.54,12.483,3.96,12.698,4.98,12.716,6.22,12.729,5.12,12.862,4.46,12.336,4.44,12.421,6.76,12.924,6.58,12.721,5.52,13.12
508,7.6,15.302,7.78,16.31,4.54,15.455,2.01,14.056,3.61,14.824,1.97,13.708,2.23,13.644,2.98,14.976,4.41,14.077,2.24,12.931,2.54,13.032,1.81,12.646,1.77,12.767,1.72,12.381,2.5,11.913,2.52,12.234,2.51,12.714,2.3,12.491,2.7,12.33,4.2,12.578,5.27,12.6,6.57,12.618,5.41,12.762,4.72,12.219,4.7,12.313,7.12,12.818,6.91,12.608,6.13,13.02
509,8.19,15.126,8.31,16.135,4.89,15.267,2.2,13.861,3.9,14.681,2.13,13.509,2.41,13.453,3.19,14.79,4.71,13.897,2.41,12.763,2.73,12.859,1.94,12.472,1.89,12.577,1.84,12.216,2.67,11.764,2.7,12.1,2.68,12.573,2.45,12.348,2.87,12.195,4.46,12.467,5.59,12.475,6.94,12.511,5.71,12.64,5.0,12.11,4.97,12.207,7.49,12.718,7.27,12.507,6.46,12.943
510,8.8,14.973,8.88,15.973,5.26,15.093,2.41,13.678,4.21,14.548,2.31,13.315,2.61,13.276,3.41,14.618,5.03,13.759,2.59,12.611,2.93,12.699,2.09,12.297,2.03,12.415,1.97,12.053,2.86,11.608,2.89,11.96,2.86,12.44,2.62,12.215,3.06,12.057,4.74,12.348,5.92,12.378,7.34,12.4,6.04,12.553,5.3,12.008,5.26,12.1,7.88,12.616,7.65,12.392,6.8,12.858
511,9.45,14.816,9.48,15.822,5.66,14.893,2.63,13.5,4.55,14.41,2.5,13.12,2.82,13.122,3.65,14.457,5.38,13.59,2.79,12.448,3.14,12.55,2.24,12.143,2.17,12.251,2.11,11.888,3.07,11.463,3.09,11.823,3.05,12.312,2.79,12.069,3.26,11.923,5.04,12.251,6.27,12.276,7.75,12.304,6.38,12.434,5.61,11.904,5.57,12.008,8.29,12.53,8.04,12.292,7.19,12.779
512,10.12,14.708,10.11,15.66,6.09,14.702,2.87,13.31,4.92,14.279,2.71,12.934,3.05,12.926,3.9,14.292,5.74,13.438,3.01,12.283,3.37,12.388,2.41,11.971,2.33,12.084,2.26,11.733,3.29,11.317,3.32,11.696,3.26,12.169,2.98,11.939,3.47,11.784,5.36,12.134,6.64,12.169,8.18,12.198,6.75,12.333,5.95,11.797,5.9,11.906,8.73,12.444,8.46,12.192,7.54,12.712
513,10.83,14.545,10.76,15.522,6.54,14.517,3.13,13.158,5.3,14.161,2.94,12.741,3.29,12.757,4.18,14.134,6.13,13.3,3.25,12.125,3.62,12.232,2.6,11.814,2.5,11.935,2.44,11.584,3.54,11.167,3.56,11.568,3.48,12.055,3.18,11.803,3.7,11.646,5.69,12.037,7.03,12.065,8.64,12.105,7.13,12.231,6.3,11.707,6.24,11.823,9.18,12.359,8.9,12.1,7.95,12.638
514,11.57,14.378,11.45,15.385,7.02,14.317,3.42,12.985,5.71,14.054,3.18,12.55,3.56,12.589,4.47,13.968,6.54,13.146,3.5,11.971,3.89,12.079,2.8,11.658,2.69,11.767,2.62,11.428,3.8,11.03,3.82,11.436,3.73,11.933,3.4,11.679,3.95,11.526,6.05,11.933,7.45,11.974,9.14,12.024,7.54,12.142,6.68,11.606,6.61,11.728,9.65,12.289,9.35,12.002,8.37,12.573
515,12.35,14.25,12.17,15.276,7.53,14.11,3.73,12.826,6.16,13.936,3.45,12.357,3.85,12.429,4.78,13.803,6.98,12.999,3.78,11.817,4.18,11.927,3.02,11.51,2.9,11.621,2.82,11.284,4.09,10.894,4.1,11.316,3.99,11.816,3.63,11.563,4.21,11.394,6.43,11.846,7.89,11.88,9.63,11.94,7.97,12.053,7.08,11.527,7.0,11.638,10.15,12.211,9.83,11.91,8.81,12.517
516,13.15,14.107,12.91,15.163,8.07,13.938,4.07,12.654,6.62,13.836,3.74,12.171,4.16,12.263,5.11,13.648,7.45,12.856,4.07,11.661,4.5,11.782,3.26,11.367,3.12,11.484,3.05,11.147,4.39,10.766,4.39,11.198,4.27,11.706,3.89,11.454,4.49,11.267,6.83,11.745,8.35,11.79,10.18,11.871,8.43,11.97,7.5,11.43,7.41,11.554,10.69,12.118,10.34,11.815,9.27,12.462
517,13.97,14.0,13.7,15.086,8.65,13.734,4.43,12.489,7.13,13.739,4.05,11.987,4.5,12.088,5.47,13.5,7.93,12.718,4.4,11.511,4.84,11.643,3.51,11.217,3.36,11.333,3.29,11.016,4.72,10.616,4.72,11.088,4.57,11.598,4.17,11.333,4.8,11.152,7.25,11.641,8.84,11.705,10.73,11.846,8.9,11.885,7.94,11.353,7.85,11.475,11.24,12.057,10.87,11.737,9.76,12.409
518,14.85,13.924,14.5,15.036,9.25,13.553,4.83,12.337,7.66,13.584,4.39,11.801,4.86,11.923,5.85,13.347,8.47,12.586,4.74,11.372,5.2,11.507,3.8,11.087,3.62,11.195,3.55,10.889,5.08,10.503,5.06,10.976,4.89,11.5,4.46,11.223,5.12,11.037,7.71,11.57,9.35,11.614,11.32,11.614,9.4,11.842,8.41,11.273,8.31,11.408,11.8,11.988,11.4,11.615,10.27,12.364
519,15.74,13.864,15.34,14.999,9.89,13.359,5.26,12.162,8.24,13.501,4.76,11.6,5.25,11.754,6.26,13.206,8.96,12.333,5.12,11.224,5.59,11.37,4.11,10.953,3.9,11.057,3.84,10.77,5.47,10.383,5.43,10.868,5.24,11.41,4.77,11.114,5.47,10.921,8.18,11.479,9.88,11.538,11.92,11.857,9.95,11.737,8.9,11.189,8.79,11.319,12.4,11.92,11.98,11.519,10.8,12.327
520,16.66,13.845,16.2,15.013,10.56,13.172,5.72,12.007,8.75,13.302,5.15,11.412,5.67,11.588,6.7,13.067,9.53,12.175,5.52,11.083,6.01,11.227,4.44,10.824,4.21,10.926,4.14,10.64,5.88,10.247,5.82,10.77,5.61,11.302,5.11,11.014,5.84,10.811,8.68,11.413,10.4,11.418,12.56,11.439,10.5,11.676,9.42,11.114,9.3,11.254,13.02,11.87,12.58,11.44,11.33,12.264
521,17.59,13.851,17.09,15.075,11.26,13.004,6.21,11.839,9.39,13.259,5.57,11.222,6.12,11.429,7.17,12.931,10.16,12.113,5.95,10.932,6.46,11.095,4.79,10.696,4.55,10.809,4.48,10.533,6.32,10.126,6.24,10.668,6.0,11.223,5.48,10.912,6.23,10.692,9.24,11.357,11.02,11.355,13.22,11.363,11.09,11.614,10.0,11.068,9.85,11.257,13.66,11.819,13.2,11.356,11.77,12.037
522,18.54,13.864,18.01,15.169,12.01,12.807,6.71,11.614,10.05,13.177,6.03,11.021,6.6,11.271,7.65,12.807,10.79,11.953,6.4,10.795,6.94,10.982,5.18,10.603,4.9,10.686,4.85,10.419,6.78,9.998,6.7,10.568,6.42,11.135,5.86,10.813,6.65,10.572,9.79,11.275,11.6,11.278,13.91,11.1,11.69,11.564,10.57,11.004,10.41,11.189,14.34,11.766,13.84,11.274,12.52,12.218
523,19.54,14.489,18.93,15.318,12.77,12.59,7.27,11.459,10.75,13.123,6.52,10.814,7.13,11.127,8.17,12.698,11.46,11.801,6.9,10.656,7.44,10.841,5.59,10.456,5.29,10.579,5.24,10.321,7.28,9.875,7.18,10.472,6.87,11.045,6.27,10.713,7.09,10.458,10.37,11.204,12.24,11.156,14.63,11.008,12.33,11.509,11.13,10.935,10.98,11.119,15.03,11.726,14.51,11.185,13.04,12.048
524,20.54,15.038,19.88,15.582,13.58,12.42,7.87,11.301,11.48,13.077,7.03,10.59,7.68,10.964,8.74,12.572,12.16,11.645,7.43,10.57,7.99,10.745,6.04,10.346,5.71,10.447,5.66,10.216,7.81,9.753,7.69,10.379,7.35,10.969,6.71,10.626,7.56,10.35,10.98,11.167,12.93,11.101,15.36,11.479,12.99,11.465,11.77,10.905,11.59,11.067,15.74,11.675,15.2,11.096,13.79,12.182
525,21.54,15.586,20.87,15.926,14.41,12.207,8.51,11.146,12.25,13.104,7.6,10.393,8.26,10.815,9.31,12.464,12.87,11.465,7.98,10.424,8.57,10.621,6.52,10.242,6.15,10.35,6.11,10.119,8.38,9.676,8.23,10.292,7.85,10.892,7.17,10.528,8.05,10.237,11.62,11.106,13.61,11.017,16.12,11.052,13.68,11.432,12.42,10.803,12.22,11.009,16.48,11.63,15.92,11.006,14.45,12.166
