,Intr_Val,04/19/24 Px_Mid,04/19/24 IVol_Mid,04/30/24 Px_Mid,04/30/24 IVol_Mid,05/17/24 Px_Mid,05/17/24 IVol_Mid,05/31/24 Px_Mid,05/31/24 IVol_Mid,06/21/24 Px_Mid,06/21/24 IVol_Mid,06/28/24 Px_Mid,06/28/24 IVol_Mid,07/19/24 Px_Mid,07/19/24 IVol_Mid,07/31/24 Px_Mid,07/31/24 IVol_Mid,08/16/24 Px_Mid,08/16/24 IVol_Mid,08/30/24 Px_Mid,08/30/24 IVol_Mid,09/20/24 Px_Mid,09/20/24 IVol_Mid,09/30/24 Px_Mid,09/30/24 IVol_Mid,12/20/24 Px_Mid,12/20/24 IVol_Mid,12/31/24 Px_Mid,12/31/24 IVol_Mid,01/17/25 Px_Mid,01/17/25 IVol_Mid,03/21/25 Px_Mid,03/21/25 IVol_Mid,03/31/25 Px_Mid,03/31/25 IVol_Mid,06/20/25 Px_Mid,06/20/25 IVol_Mid,09/19/25 Px_Mid,09/19/25 IVol_Mid,12/19/25 Px_Mid,12/19/25 IVol_Mid,01/16/26 Px_Mid,01/16/26 IVol_Mid,12/18/26 Px_Mid,12/18/26 IVol_Mid
495,-8.485000000000014,0.89,17.328,3.17,17.428,5.68,16.861,6.88,16.618,8.84,16.666,9.37,16.604,10.67,16.598,11.38,16.627,12.32,16.594,13.08,16.627,14.15,16.652,14.66,16.742,19.06,17.297,19.51,17.321,20.26,17.434,22.76,17.765,23.01,17.731,25.77,18.017,28.41,18.219,30.87,18.447,31.35,18.425,38.01,18.836
500,-3.4850000000000136,2.01,16.423,4.61,16.616,7.2,16.142,8.41,15.979,10.39,16.094,10.93,16.046,12.25,16.1,12.96,16.146,13.89,16.127,14.65,16.18,15.75,16.253,16.25,16.35,20.69,16.961,21.13,16.994,21.87,17.106,24.37,17.454,24.6,17.417,27.38,17.741,30.03,17.963,32.51,18.209,32.97,18.187,39.35,18.541
505,1.5149999999999864,4.09,15.704,6.59,15.798,9.09,15.429,10.3,15.365,12.24,15.536,12.76,15.51,14.06,15.616,14.78,15.695,15.7,15.69,16.46,15.767,17.55,15.866,18.06,15.977,22.46,16.637,22.9,16.671,23.63,16.788,26.12,17.16,26.33,17.113,29.11,17.47,31.74,17.703,34.24,17.978,34.67,17.954,41.72,18.545
510,6.514999999999986,7.34,15.014,9.24,15.009,11.45,14.763,12.58,14.786,14.41,15.017,14.91,14.99,16.17,15.162,16.87,15.257,17.76,15.277,18.51,15.374,19.57,15.488,20.06,15.599,24.39,16.317,24.83,16.357,25.54,16.474,27.99,16.867,28.17,16.81,30.95,17.199,33.58,17.458,35.97,17.721,36.47,17.718,42.61,18.076
515,11.514999999999986,11.63,14.69,12.62,14.272,14.4,14.169,15.34,14.272,16.96,14.512,17.38,14.484,18.6,14.734,19.24,14.826,20.1,14.898,20.81,14.995,21.81,15.126,22.3,15.244,26.5,16.003,26.92,16.047,27.62,16.166,30.02,16.572,30.17,16.508,32.93,16.937,35.49,17.199,37.89,17.483,38.39,17.484,45.35,18.173
520,16.514999999999986,16.58,19.278,16.75,13.773,17.81,13.537,18.58,13.769,19.89,14.033,20.29,14.032,21.34,14.29,21.91,14.401,22.69,14.476,23.33,14.582,24.23,14.696,24.7,14.844,28.79,15.692,29.21,15.748,29.87,15.867,32.21,16.295,32.31,16.214,35.03,16.669,37.57,16.964,39.95,17.257,40.42,17.26,46.52,17.725
525,21.514999999999986,21.58,23.328,21.54,14.79,21.87,13.086,22.34,13.298,23.31,13.584,23.62,13.606,24.49,13.908,24.97,14.035,25.66,14.118,26.23,14.227,27.03,14.353,27.43,14.494,31.21,15.327,31.51,15.344,32.22,15.516,34.32,15.88,34.62,15.921,37.28,16.412,39.74,16.713,42.05,17.021,42.56,17.04,49.37,17.806
530,26.514999999999986,26.54,27.114,26.54,17.27,26.54,13.332,26.66,12.984,27.15,13.193,27.4,13.223,28.06,13.561,28.44,13.684,28.98,13.775,29.47,13.893,30.15,14.03,30.49,14.176,33.86,14.982,34.2,15.043,34.78,15.19,36.83,15.595,37.12,15.633,39.5,16.054,42.08,16.473,44.32,16.79,44.83,16.821,51.5,17.612
535,31.514999999999986,31.54,31.779,31.54,19.586,31.54,15.086,31.54,13.962,31.56,12.815,31.67,12.848,32.06,13.233,32.31,13.362,32.7,13.457,33.07,13.585,33.61,13.713,33.89,13.877,36.83,14.682,37.14,14.75,37.66,14.898,39.56,15.314,39.82,15.351,42.06,15.79,44.36,16.113,46.73,16.562,47.21,16.597,53.76,17.422
540,36.514999999999986,36.54,32.802,36.54,21.886,36.53,16.784,36.53,15.496,36.53,14.058,36.53,13.613,36.53,13.033,36.61,13.013,36.83,13.136,37.08,13.287,37.44,13.422,37.66,13.591,40.06,14.387,40.33,14.466,40.79,14.62,42.5,15.038,42.74,15.078,44.82,15.528,47.0,15.87,49.05,16.245,49.65,16.338,56.11,17.24
545,41.514999999999986,41.54,37.656,41.54,24.037,41.54,18.41,41.54,16.959,41.54,15.346,41.54,14.951,41.54,14.164,41.53,13.86,41.53,13.338,41.53,13.07,41.67,13.056,41.82,13.291,43.59,14.103,43.83,14.192,44.2,14.344,45.69,14.769,45.9,14.809,47.79,15.273,49.82,15.624,51.76,16.017,52.33,16.113,58.57,17.053
550,46.514999999999986,46.54,41.578,46.54,26.213,46.54,20.017,46.54,18.396,46.54,16.531,46.54,16.151,46.54,15.317,46.53,14.915,46.53,14.402,46.53,14.032,46.53,13.55,46.54,13.517,47.46,13.813,47.64,13.926,47.92,14.09,49.15,14.5,49.33,14.55,50.98,15.025,52.83,15.388,54.63,15.794,55.18,15.896,61.22,16.831
555,51.514999999999986,51.54,46.126,51.54,28.341,51.54,21.559,51.54,19.774,51.54,17.793,51.54,17.268,51.53,16.372,51.53,16.024,51.53,15.379,51.53,15.054,51.52,14.508,51.54,14.505,51.7,13.515,51.81,13.642,51.99,13.829,52.9,14.237,53.05,14.288,54.42,14.781,56.05,15.149,57.71,15.576,58.21,15.682,64.0,16.666
560,56.514999999999986,56.54,47.931,56.54,30.426,56.54,23.071,56.54,21.153,56.54,19.064,56.54,18.471,56.53,17.49,56.53,16.987,56.53,16.34,56.53,15.96,56.53,15.382,56.54,15.363,56.52,13.83,56.54,13.812,56.5,13.727,56.98,13.963,57.09,14.043,58.14,14.557,59.5,14.921,60.98,15.357,61.45,15.469,66.5,16.341
