,Intr_Val,04/19/24 Px_Mid,04/19/24 IVol_Mid,04/30/24 Px_Mid,04/30/24 IVol_Mid,05/17/24 Px_Mid,05/17/24 IVol_Mid,05/31/24 Px_Mid,05/31/24 IVol_Mid,06/21/24 Px_Mid,06/21/24 IVol_Mid,06/28/24 Px_Mid,06/28/24 IVol_Mid,07/19/24 Px_Mid,07/19/24 IVol_Mid,07/31/24 Px_Mid,07/31/24 IVol_Mid,08/16/24 Px_Mid,08/16/24 IVol_Mid,08/30/24 Px_Mid,08/30/24 IVol_Mid,09/20/24 Px_Mid,09/20/24 IVol_Mid,09/30/24 Px_Mid,09/30/24 IVol_Mid,12/20/24 Px_Mid,12/20/24 IVol_Mid,12/31/24 Px_Mid,12/31/24 IVol_Mid,01/17/25 Px_Mid,01/17/25 IVol_Mid,03/21/25 Px_Mid,03/21/25 IVol_Mid,03/31/25 Px_Mid,03/31/25 IVol_Mid,06/20/25 Px_Mid,06/20/25 IVol_Mid,09/19/25 Px_Mid,09/19/25 IVol_Mid,12/19/25 Px_Mid,12/19/25 IVol_Mid,01/16/26 Px_Mid,01/16/26 IVol_Mid,12/18/26 Px_Mid,12/18/26 IVol_Mid
495,8.485000000000014,9.75,17.882,12.75,17.426,16.67,17.186,18.84,16.831,21.76,16.946,22.23,16.741,24.54,16.002,25.96,15.96,28.13,16.126,29.9,16.25,32.01,16.187,32.53,16.295,41.67,16.883,42.17,16.762,43.82,16.814,49.82,17.135,50.24,17.035,57.17,17.344,63.81,17.558,69.94,17.528,71.3,17.48,91.01,17.678
500,3.4850000000000136,5.88,16.957,9.19,16.615,13.17,16.439,15.34,16.177,18.26,16.336,18.76,16.146,21.11,15.535,22.52,15.522,24.69,15.709,26.45,15.835,28.58,15.792,29.12,15.908,38.32,16.598,38.8,16.452,40.5,16.521,46.46,16.859,46.89,16.765,53.85,17.096,60.53,17.335,67.06,17.486,68.09,17.297,87.99,17.648
505,-1.5149999999999864,2.96,16.074,6.14,15.801,10.02,15.716,12.16,15.544,15.03,15.726,15.54,15.571,17.91,15.087,19.3,15.091,21.46,15.296,23.19,15.432,25.32,15.441,25.87,15.535,35.06,16.284,35.55,16.152,37.2,16.234,43.36,16.614,43.63,16.496,50.6,16.852,57.32,17.114,63.5,17.101,64.93,17.113,85.02,17.451
510,-6.514999999999986,1.15,15.417,3.74,15.031,7.29,15.023,9.33,14.95,12.08,15.153,12.6,15.015,14.95,14.656,16.31,14.68,18.42,14.895,20.12,15.041,22.22,15.082,22.77,15.164,31.92,15.977,32.42,15.852,34.08,15.948,40.03,16.308,40.47,16.229,47.43,16.609,54.17,16.892,60.41,16.945,61.85,16.927,82.0,17.304
515,-11.514999999999986,0.35,15.136,2.03,14.331,5.02,14.361,6.92,14.395,9.48,14.617,9.99,14.498,12.28,14.25,13.58,14.283,15.62,14.509,17.27,14.665,19.31,14.726,19.86,14.808,28.91,15.674,29.42,15.557,31.07,15.666,36.96,16.037,37.41,15.961,44.35,16.366,51.1,16.67,57.36,16.751,58.81,16.742,79.0,17.145
520,-16.514999999999986,0.11,15.577,0.97,13.732,3.26,13.771,4.91,13.87,7.23,14.131,7.73,14.023,9.89,13.891,11.14,13.958,13.06,14.15,14.64,14.295,16.57,14.347,17.15,14.461,26.05,15.38,26.56,15.265,28.19,15.386,34.0,15.771,34.45,15.698,41.35,16.123,48.1,16.451,54.37,16.556,55.84,16.557,76.0,16.973
525,-21.514999999999986,0.05,17.088,0.42,13.416,1.98,13.26,3.34,13.402,5.37,13.691,5.82,13.583,7.81,13.522,8.97,13.607,10.77,13.801,12.28,13.969,14.1,14.017,14.67,14.146,23.3,15.072,23.82,14.971,25.4,15.087,31.15,15.506,31.61,15.439,38.45,15.885,45.18,16.231,51.88,16.531,52.94,16.373,73.0,16.786
530,-26.514999999999986,0.03,18.986,0.19,13.483,1.14,12.878,2.16,12.978,3.86,13.3,4.26,13.194,6.04,13.194,7.09,13.28,8.74,13.48,10.14,13.646,11.86,13.714,12.42,13.838,20.74,14.794,21.23,14.694,22.81,14.828,28.43,15.244,28.89,15.182,35.64,15.646,42.34,16.013,48.6,16.172,50.1,16.189,70.5,16.672
535,-31.514999999999986,0.02,20.847,0.09,13.783,0.64,12.678,1.34,12.639,2.69,12.956,3.04,12.851,4.58,12.903,5.49,12.977,6.98,13.179,8.25,13.34,9.85,13.416,10.36,13.516,18.34,14.518,18.82,14.421,20.35,14.562,25.87,15.023,26.28,14.933,32.94,15.411,39.58,15.799,45.83,15.981,47.34,16.005,67.5,16.53
540,-36.514999999999986,0.02,23.702,0.05,14.377,0.36,12.616,0.8,12.412,1.83,12.675,2.11,12.571,3.4,12.636,4.2,12.719,5.5,12.909,6.62,13.05,8.09,13.136,8.6,13.268,16.12,14.26,16.6,14.171,18.07,14.312,23.41,14.776,23.83,14.689,30.35,15.163,36.92,15.585,43.14,15.777,44.65,15.823,65.0,16.457
545,-41.514999999999986,0.02,26.497,0.04,15.599,0.2,12.69,0.48,12.296,1.21,12.456,1.41,12.323,2.48,12.42,3.14,12.495,4.26,12.667,5.25,12.819,6.56,12.895,7.0,12.987,14.08,14.005,14.51,13.915,15.95,14.073,21.09,14.543,21.48,14.45,27.87,14.942,34.22,15.317,40.5,15.6,42.04,15.64,62.25,16.368
550,-46.514999999999986,0.01,28.124,0.03,16.589,0.12,12.934,0.28,12.26,0.79,12.286,0.94,12.146,1.77,12.245,2.33,12.321,3.25,12.44,4.1,12.583,5.27,12.684,5.65,12.767,12.21,13.768,12.63,13.677,14.0,13.847,18.92,14.313,19.29,14.221,25.51,14.728,32.11,15.273,38.34,15.55,39.5,15.463,60.5,16.47
555,-51.514999999999986,0.01,30.73,0.02,17.214,0.08,13.255,0.17,12.345,0.51,12.203,0.62,12.037,1.25,12.106,1.69,12.162,2.45,12.285,3.17,12.397,4.18,12.489,4.53,12.568,10.51,13.544,10.91,13.457,12.18,13.599,16.88,14.091,17.24,14.001,23.26,14.508,29.39,14.919,35.5,15.103,37.05,15.286,57.16,16.033
560,-56.514999999999986,0.01,33.293,0.02,18.665,0.05,13.671,0.11,12.567,0.33,12.199,0.41,11.992,0.88,12.011,1.23,12.063,1.84,12.156,2.43,12.256,3.29,12.329,3.6,12.399,8.99,13.331,9.38,13.25,10.56,13.399,15.0,13.879,15.35,13.788,21.15,14.31,27.13,14.726,33.14,15.018,34.67,15.111,54.91,15.971
565,-61.514999999999986,0.01,35.814,0.02,20.092,0.04,14.139,0.07,12.764,0.22,12.27,0.28,12.049,0.62,11.978,0.88,12.006,1.37,12.072,1.86,12.151,2.57,12.198,2.84,12.283,7.65,13.137,8.0,13.063,9.11,13.212,13.28,13.685,13.59,13.592,19.16,14.114,24.98,14.541,30.88,14.846,32.39,14.939,52.45,15.826
